IDBASE;LIBELLEFRANCAIS;GENRE;ESPECE;ADRESSE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;Geo point
106913.0;Cèdre;Cedrus;libani;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;Arbre;Jardin;PARIS 7E ARRDT;Canton 07;;P00709013;308.0;20.0;Mature;Inconnue;''Glauca'';1700-01-01T01:02:49+00:53;OUI;48.854379449969116,2.298629731628205
125063.0;Orme;Ulmus;glabra;SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE;Arbre;Jardin;PARIS 4E ARRDT;;;000302002;167.0;10.0;Adulte;Inconnue;''Pendula'';1700-01-01T01:02:49+00:53;OUI;48.852102030885966,2.3508038713728716
162943.0;Platane;Platanus;x hispanica;CIMETIERE DU PERE LACHAISE / DIV 45;Arbre;CIMETIERE;PARIS 20E ARRDT;20-14;;D00000045009;375.0;26.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8612558559957,2.39505026070172
114166.0;Platane;Platanus;x hispanica;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 08 - 34 à 44;;000210026;445.0;21.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.87313400143684,2.2867955315430515
2002399.0;Catalpa;Catalpa;bignonioides;PENTE DE GRAVELLE - AVENUE DE GRAVELLE / ROUTE DU MOULIN ROUGE;Arbre;Jardin;BOIS DE VINCENNES;12-38;;12-38;289.0;10.0;Mature;Inconnue;;2000-01-01T02:00:00+01:00;OUI;48.82007112336596,2.4351662646921874
216766.0;Paulownia;Paulownia;tomentosa;RUE DE FURSTEMBERG;Arbre;Alignement;PARIS 6E ARRDT;;;000101001;295.0;15.0;Mature;GUILLOT BOURNE;;1999-01-25T02:00:00+01:00;OUI;48.854273288210244,2.3357352546771133
114452.0;Micocoulier;Celtis;koraiensis;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;00060082;173.0;9.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.846039808503576,2.2540662827478433
2002387.0;Sequoia;Sequoiadendron;giganteum;ROUTE DE LA PORTE SAINT-JAMES;Arbre;Jardin;BOIS DE BOULOGNE;16-12;;001001001;335.0;28.0;Mature;Inconnue;;1850-01-01T01:02:49+00:53;OUI;48.87647407978168,2.2574997550678364
2013640.0;Amandier;Prunus;dulcis;LES PLATEAUX SAUVAGES / 7 RUE DES PLATRIERES;Arbre;DAC;PARIS 20E ARRDT;;;000101001;240.0;9.0;Mature;Inconnue;;2000-01-01T02:00:00+01:00;OUI;48.86780690264865,2.388834148972542
2009036.0;Saule;Salix;babylonica;ETANG DE SURESNES / ROUTE DE SURESNES - ROUTE DES MOULINS;Arbre;Jardin;BOIS DE BOULOGNE;16-61;;000201001;285.0;10.0;Mature;Inconnue;;1901-01-01T01:09:21+01:00;OUI;48.86481041381718,2.2337060200219145
2002346.0;Platane;Platanus;x hispanica;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-19;;000701005;500.0;40.0;Mature;Inconnue;;1847-01-01T01:02:49+00:53;OUI;48.86922434377151,2.2460170409919717
112897.0;Platane;Platanus;x hispanica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Talus du Lac;;0417B1018;375.0;20.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.82413393656339,2.3379656973736673
305507.0;Erable;Acer;pseudoplatanus;PARC MONCEAU;Arbre;Jardin;PARIS 8E ARRDT;08-01;;00NO0144;427.0;28.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.878702987226085,2.3064741737057197
2009236.0;Catalpa;Catalpa;bignonioides;TIR AU PIGEON / 32 ROUTE DE L ETOILE;Arbre;Jardin;BOIS DE BOULOGNE;16-62;;001301001;397.0;14.0;Mature;Inconnue;;1910-01-01T01:09:21+01:00;OUI;48.87408216456365,2.2591649740619064
235972.0;Tilleul;Tilia;tomentosa;PLACE DE LA BATAILLE DE STALINGRAD;Arbre;Alignement;PARIS 19E ARRDT;19-05;;000103001;215.0;23.0;Mature;Inconnue;;1945-01-01T02:00:00+01:00;OUI;48.883029324261045,2.37006279721253
111642.0;Erable;Acer;saccharinum;SQUARE SAINT LAMBERT / 2 RUE JEAN FORMIGE;Arbre;Jardin;PARIS 15E ARRDT;15-04;;000102015;240.0;20.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.84278366541723,2.2968613313219115
108277.0;Sequoia;Sequoia;sempervirens;JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE;Arbre;Jardin;PARIS 16E ARRDT;Canton 10;;001005001;186.0;16.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.86245184358236,2.2895909974805195
123071.0;Metaséquoia;Metasequoia;glyptostroboides;SQUARE DE LA VILLA SAINTE CROIX / 10 VILLA SAINTE CROIX;Arbre;Jardin;PARIS 17E ARRDT;;;000101005;251.0;19.0;Mature;Inconnue;;1995-04-01T04:00:00+02:00;OUI;48.893937811792384,2.324438667904684
147672.0;Marronnier;Aesculus;hippocastanum;CIMETIERE DU PERE LACHAISE / DIV 76;Arbre;CIMETIERE;PARIS 20E ARRDT;20-15;;D00000076032;347.0;22.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.85974252453222,2.3999831363677955
123330.0;Erable;Acer;monspessulanum;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;00040005;209.0;17.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.84624268954269,2.2513754059362436
104839.0;Chêne;Quercus;cerris;SQUARE RENE LE GALL / 1 RUE EMILE DESLANDRES;Arbre;Jardin;PARIS 13E ARRDT;Roseraie;;000301002;140.0;15.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.83302104314707,2.349917609098429
113547.0;Platane;Platanus;x hispanica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Plateau Baigneuses;;0420A1001;610.0;25.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.82271470391605,2.338688414234378
