Nom;Catégorie;Lieu;Description 1;Description 2;Description 3;Description 4;Description 5;Site web;URL Photos;THUMB_URL;Longitude LB93;Latitude LB93;geo_shape;geo_point_2d;photos
Alessandra Montagne;77 Illustres Parisiennes;5 rue Clisson;La cheffe Franco-brésilienne du restaurant Tempero est une locavore.;Dans sa cuisine elle utilise des produits de marchés franciliens et propose une carte reflétant ses origines mais aussi ses voyages.;Le plus d’Alessandra Montagne est de proposer sa cuisine au plus grand nombre en affichant des prix très attractifs;;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/NoPhoto.png;653711.1773;6859403.8348;"{""coordinates"": [2.369415000519007, 48.83302599974994], ""type"": ""Point""}";48.8330259997,2.36941500052;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/58ac627c790ecd94e05883c83a2c9111
Marguerite Durand;77 Illustres Parisiennes;14 rue st georges;Marguerite Durand sera actrice, journaliste, féministe et femme politique.;"En 1897 elle crée le journal ""la fronde"" au 14 rue St-Georges.";"Le journal est tenu exclusivement par des femmes et surnommé par le tout paris ""Le temps en jupons"".";Il avait la particularité d'être très critique sur le Code de Napoléon.;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Marguerite_Durand.jpg;651386.0445;6864078.758;"{""coordinates"": [2.337206999956318, 48.87489599997518], ""type"": ""Point""}";48.874896,2.33720699996;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/a3ac6192b79b18a5e1d4ffa022307073
Hélène Darroze;Cheffes;4 rue d'Assas;Meilleure cheffe au monde en 2015, Hélène Darroze ouvre son restaurant éponyme en 2000 où elle gagne une première étoile Michelin en 2001 et une deuxième en 2003.;Amie d’Anne-Sophie Pic, elles fondent ensemble le club “Les nouvelles mères cuisinières” afin de soutenir les carrières féminines dans la cuisine.;;;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Helene_Darroze.jpg;650677.5661;6861323.1054;"{""coordinates"": [2.327867999735371, 48.85006100025225], ""type"": ""Point""}";48.8500610003,2.32786799974;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/a5877be7e59c52dc38603dc3460a35de
Flora Tristan;Femmes de lettres;100bis rue du bac;Considérée comme première féministe par beaucoup, Flora Tristan est une figure majeure du débat social dans les années 1840.;Elle habite le 100bis rue du bac et écrit dans son petit appartement des textes pour la défense de la classe ouvrière sur des questions de protection sociale, droit du travail, égalité hommes-femmes.;Elle est aussi la grand-mère maternelle de Paul Gauguin.;;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Flora_Tristan.jpg;650378.5055;6861749.8815;"{""coordinates"": [2.323743000449752, 48.853875999692704], ""type"": ""Point""}";48.8538759997,2.32374300045;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/f209c271b620cb7cbbd4859e99875e86
Simone Veil;Politiques;11 Place Vauban;Le 11 place Vauban était le lieu où Simone Veil vécut avec son mari Antoine et leurs enfants;"Son discours pour le droit à l'IVG marquera l’histoire puisque le 17 janvier 1975 ""la loi Veil"" fut adoptée légalisant l'interruption volontaire de grossesse.";Femme politique émérite Simone Veil repose aujourd’hui au Panthéon.;;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Simone_Veil.jpg;649422.5117;6861699.5113;"{""coordinates"": [2.310721070388243, 48.853348686458936], ""type"": ""Point""}";48.8533486865,2.31072107039;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/13c1602b7120e9e9f8202b717a41690a
Marie curie;Scientifiques;1 rue P&Marie Curie;Physicienne et chimiste Marie Curie mène des recherches sur un nouveau phénomène qu’elle nommera radioactivité.;Ses recherches mèneront également à la découverte de deux nouveaux éléments le radium et le polonium avec son mari Pierre Curie.;Après avoir reçu le prix Nobel de physique en 1903, elle remplacera son mari mort à la Sorbonne comme professeure de physique, et sera la première femme à donner des cours à des étudiants.;En 1911, elle décroche le Nobel de Chimie, elle repose aujourd’hui avec son mari au Panthéon.;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Marie_Curie.jpg;651926.7858;6860674.7752;"{""coordinates"": [2.344963999528176, 48.84432499980452], ""type"": ""Point""}";48.8443249998,2.34496399953;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/7f09975a3df6d704f03d33898440debc
Sophie Germain;Scientifiques;13 rue de Savoie;Le 13 rue de Savoie fut le lieu de résidence de Sophie Germain.;Passionnée par les mathématiques elle lit dès l'enfance Newton et Euler et entreprend de devenir mathématicienne.;Sophie Germain s'invente alors un pseudonyme, Antoine-Auguste Le Blanc pour pouvoir accéder à l'école polytechnique de Paris, exclusivement réservée aux hommes.;Elle travaille essentiellement sur la théorie des nombres (théorème de Fermat).;"Ses découvertes sont suffisamment importantes pour qu'un théorème porte son nom ""le théorème de Sophie Germain"".";;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Sophie_Germain.jpg;651655.6361;6861787.7893;"{""coordinates"": [2.341143000313814, 48.85431399975767], ""type"": ""Point""}";48.8543139998,2.34114300031;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/1428c01e448238d71d04541d3c9bdda9
Maryse Bastié;77 Illustres Parisiennes;23 rue Froidevaux;Lieu de résidence de Maryse Bastié, cette aviatrice émérite établit en 1929 le record international féminin de durée avec un vol de 26h44minutes en 1929 et repousse l'exploit à 37h55 min en 1930.;Sur le parcours Paris-Uring ( URSS) elle établit un nouveau record de distance, 2976 kilomètres elle reçoit alors le Harmon Trophy américain décerné pour la première fois à une française.;En parallèle elle s’engage pour la cause féminine et se présente symboliquement aux élections législatives du 5ème arrondissement en 1936.;Elle trouve la mort dans un crash en 1952 où elle était alors passagère.;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Maryse_Bastie.jpg;650729.8865;6859699.7305;"{""coordinates"": [2.328769000006866, 48.8354659996763], ""type"": ""Point""}";48.8354659997,2.32876900001;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/f0229cffc25593767e9e42b05bb5e4e2
Dora Maar;Artistes;6 rue de Savoie;Peintre et parfois photographe de plateau, Henriette Théodora Markovitch dit Dora Maar, rencontre Picasso en 1935 grâce à Paul Éluard aux Deux-Magots.;Elle réalise le premier reportage photo sur l'oeuvre de Picasso au travail.;En 1946, Dora Maar devient peintre à part entière, se sépare de Picasso  et s'éloigne des formes cubistes.;Elle habita au 6 rue de Savoie jusqu'à sa mort.;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Dora_Maar.jpg;651702.0143;6861788.0697;"{""coordinates"": [2.341775000470007, 48.85431999982719], ""type"": ""Point""}";48.8543199998,2.34177500047;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/d0e663fa8a9719f7d63bba770cd32af5
Colette;Femmes de lettres;9 rue Beaujolais 75001;Le palais-royal fut le lieu de résidence de l'écrivaine Colette qu'elle décrit comme une petite province dans Paris.;Colette est une femme de lettres française mais aussi actrice et journaliste.;Elle est la deuxième femme élue à l'académie Goncourt en 1945.;Féministe engagée elle œuvrera pour la liberté des femmes et écrits de nombreux ouvrages sur la bisexualité.;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Colette.jpg;651474.2232;6863099.4558;"{""coordinates"": [2.33852100010145, 48.86609600029738], ""type"": ""Point""}";48.8660960003,2.3385210001;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/39c38dd23bd7ab1a0c52f41ada564f17
